instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq459,WORD_VECTORS_US,snowflake,3,3,3,3,1.000,1.000,1,1,3,14.6,19,19,1013,,,,,,,,
sf_bq460,WORD_VECTORS_US,snowflake,3,3,3,3,1.000,1.000,1,1,3,14.1,19,19,1013,,,,,,,,
bq204,eclipse_megamovie,bigquery,1,5,5,1,1.000,0.200,1,1,1,231.0,129,84,2630,1,84,1.000,0.012,1,1,,
bq389,epa_historical_air_quality,bigquery,6,20,32,5,0.833,0.250,0,0,27,454.9,879,879,25058,18,576,0.833,0.026,0,3,bigquery-public-data.epa_historical_air_quality.voc_daily_summary,voc_daily_summary.arithmetic_mean;voc_daily_summary.date_local;voc_daily_summary.state_name
sf_bq345,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,506.4,2100,2100,17669,9,476,0.444,0.008,0,2,,dicom_all.instance_size;dicom_all.modality;dicom_all.referencedimagesequence;dicom_all.referencedseriessequence;dicom_all.sourceimagesequence
sf_bq346,IDC,snowflake,2,16,16,2,1.000,0.125,1,1,3,95.6,2100,2100,17358,15,473,0.600,0.019,0,4,,dicom_all.access;dicom_all.modality;dicom_all.referencedimagesequence;dicom_all.referencedseriessequence;dicom_all.seriesdescription;dicom_all.sourceimagesequence
sf_bq347,IDC,snowflake,2,16,16,2,1.000,0.125,1,0,7,94.2,2100,2100,17563,6,476,0.833,0.011,0,1,,dicom_all.modality
sf_bq390,IDC,snowflake,2,16,16,2,1.000,0.125,1,1,3,99.6,2100,2100,17416,9,476,0.778,0.015,0,0,,dicom_all.modality;dicom_all.seriesdescription
sf_bq421,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,110.0,2100,2100,17537,4,473,0.250,0.002,0,8,,dicom_all.instance_size;dicom_all.modality;dicom_all.specimendescriptionsequence
sf_bq422,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,106.8,2100,2100,17507,8,476,0.500,0.008,0,8,,dicom_all.exposure;dicom_all.imagepositionpatient;dicom_all.instance_size;dicom_all.modality
sf_bq069,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,158.3,2100,2100,17506,,,,,,,,
sf_bq219,IOWA_LIQUOR_SALES,snowflake,1,1,1,1,1.000,1.000,1,1,1,566.5,24,24,1209,4,24,1.000,0.167,1,9,,
bq199,iowa_liquor_sales,bigquery,1,1,1,1,1.000,1.000,1,1,1,212.2,24,24,1183,5,24,1.000,0.208,1,3,,
bq218,iowa_liquor_sales,bigquery,1,1,1,1,1.000,1.000,1,1,1,9.6,24,24,1183,4,24,1.000,0.167,1,5,,
bq049,iowa_liquor_sales_plus,bigquery,2,2,2,2,1.000,1.000,1,1,2,247.7,36,30,1491,8,30,1.000,0.267,1,7,,
bq360,nppes,bigquery,1,4,4,1,1.000,0.250,1,1,1,443.5,918,822,2247,4,132,1.000,0.030,1,3,,
bq286,usa_names,bigquery,1,2,2,1,1.000,0.500,1,1,2,248.6,10,10,367,5,10,1.000,0.500,1,1,,
sf_bq044,TCGA,snowflake,3,20,52,2,0.667,0.100,0,0,28,720.6,4107,1530,46649,,,,,,,tcga.tcga_versioned.rnaseq_hg19_gdc_2017_02,
sf_bq043,TCGA,snowflake,3,20,52,3,1.000,0.150,1,0,17,114.7,4107,1530,38093,15,664,1.000,0.023,1,0,,
bq143,CPTAC_PDC,bigquery,3,20,78,2,0.667,0.100,0,0,22,1393.3,1451,1432,31916,11,518,0.636,0.014,0,5,isb-cgc-bq.cptac.quant_proteome_cptac_ccrcc_discovery_study_pdc_current,quant_proteome_cptac_ccrcc_discovery_study_pdc_current.aliquot_id;quant_proteome_cptac_ccrcc_discovery_study_pdc_current.case_id;quant_proteome_cptac_ccrcc_discovery_study_pdc_current.gene_symbol;quant_proteome_cptac_ccrcc_discovery_study_pdc_current.protein_abundance_log2ratio
