instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq392,noaa_gsod,bigquery,1,2,2,1,1.000,0.500,1,1,1,5.9,
sf_bq050,NEW_YORK_CITIBIKE_1,snowflake,5,12,21,4,0.800,0.333,0,0,16,58.2,new_york_citibike_1.noaa_gsod.stations
sf_bq426,NEW_YORK_CITIBIKE_1,snowflake,4,12,21,3,0.750,0.250,0,0,15,36.9,new_york_citibike_1.noaa_gsod.stations
sf_bq291,NOAA_GLOBAL_FORECAST_SYSTEM,snowflake,1,11,11,1,1.000,0.091,1,1,1,12.0,
bq208,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,10,64.2,
bq047,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,1,3,28.9,
bq048,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,9,28.4,
bq293,new_york_geo,bigquery,2,12,24,2,1.000,0.167,1,0,6,110.6,
sf_bq017,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,11.8,
sf_bq131,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,10.1,
sf_bq349,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,4,10.0,
sf_bq007,CENSUS_BUREAU_ACS_2,snowflake,2,19,32,2,1.000,0.105,1,0,16,184.5,
sf_bq429,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,586.1,
sf_bq073,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,241.3,
sf_bq410,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,1,0.500,0.050,0,0,21,176.1,census_bureau_acs_2.cyclistic.state_fips
sf_bq348,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,4,13.4,
sf_bq253,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,0,5,14.1,
sf_bq254,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,3,16.0,
sf_bq056,GEO_OPENSTREETMAP_BOUNDARIES,snowflake,2,12,25,1,0.500,0.083,0,0,13,35.3,geo_openstreetmap_boundaries.geo_us_boundaries.states
sf_bq289,GEO_OPENSTREETMAP_CENSUS_PLACES,snowflake,2,20,67,2,1.000,0.100,1,0,8,180.0,
sf_bq250,GEO_OPENSTREETMAP_WORLDPOP,snowflake,2,11,11,2,1.000,0.182,1,0,5,15.3,
sf_bq083,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,5,127.9,
sf_bq184,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,79.1,
