instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_local029,BRAZILIAN_E_COMMERCE,snowflake,3,10,10,3,1.000,0.300,1,1,3,6.1,62,62,4653,,,,,,,,
sf_local030,BRAZILIAN_E_COMMERCE,snowflake,3,10,10,3,1.000,0.300,1,1,6,7.4,62,62,4653,7,62,1.000,0.113,1,2,,
sf_local032,BRAZILIAN_E_COMMERCE,snowflake,5,10,10,5,1.000,0.500,1,0,8,8.1,62,62,4793,,,,,,,,
sf_local034,BRAZILIAN_E_COMMERCE,snowflake,4,10,10,4,1.000,0.400,1,1,6,6.6,62,62,4477,,,,,,,,
sf_local037,BRAZILIAN_E_COMMERCE,snowflake,4,10,10,4,1.000,0.400,1,1,6,7.0,62,62,4477,,,,,,,,
sf_local035,BRAZILIAN_E_COMMERCE,snowflake,1,10,10,1,1.000,0.100,1,1,1,9.4,62,62,3760,,,,,,,,
sf_local038,PAGILA,snowflake,6,16,16,6,1.000,0.375,1,1,6,9.4,89,89,2472,16,89,1.000,0.180,1,1,,
sf_local039,PAGILA,snowflake,8,16,16,8,1.000,0.500,1,0,12,8.6,89,89,3016,16,89,1.000,0.180,1,1,,
sf_local040,MODERN_DATA,snowflake,2,17,17,2,1.000,0.118,1,1,2,10.0,77,77,2086,,,,,,,,
sf_local041,MODERN_DATA,snowflake,1,17,17,1,1.000,0.059,1,1,1,6.4,77,77,2062,,,,,,,,
sf_local049,MODERN_DATA,snowflake,2,17,17,2,1.000,0.118,1,1,2,6.3,77,77,2216,,,,,,,,
sf_local054,CHINOOK,snowflake,6,13,13,6,1.000,0.462,1,0,12,9.4,69,69,2270,,,,,,,,
sf_local055,CHINOOK,snowflake,6,13,13,6,1.000,0.462,1,0,8,9.9,69,69,2225,,,,,,,,
sf_local198,CHINOOK,snowflake,3,13,13,3,1.000,0.231,1,0,7,7.8,69,69,2224,,,,,,,,
sf_local056,SQLITE_SAKILA,snowflake,2,16,16,2,1.000,0.125,1,1,2,9.7,89,89,3582,6,89,1.000,0.067,1,4,,
sf_local058,EDUCATION_BUSINESS,snowflake,2,18,18,2,1.000,0.111,1,1,2,10.1,98,98,3608,,,,,,,,
sf_local059,EDUCATION_BUSINESS,snowflake,2,18,18,2,1.000,0.111,1,1,2,7.7,98,98,3607,,,,,,,,
sf_local060,COMPLEX_ORACLE,snowflake,6,10,10,6,1.000,0.600,1,0,8,11.7,140,140,3591,,,,,,,,
sf_local063,COMPLEX_ORACLE,snowflake,6,10,10,6,1.000,0.600,1,0,8,9.5,140,140,3585,,,,,,,,
sf_local061,COMPLEX_ORACLE,snowflake,7,10,10,7,1.000,0.700,1,0,9,16.4,140,140,3583,,,,,,,,
sf_local050,COMPLEX_ORACLE,snowflake,7,10,10,7,1.000,0.700,1,0,9,16.9,140,140,3412,,,,,,,,
sf_local062,COMPLEX_ORACLE,snowflake,4,10,10,4,1.000,0.400,1,1,6,9.9,140,140,3591,,,,,,,,
sf_local067,COMPLEX_ORACLE,snowflake,4,10,10,4,1.000,0.400,1,0,6,7.5,140,140,2871,,,,,,,,
sf_local070,CITY_LEGISLATION,snowflake,1,15,15,1,1.000,0.067,1,1,1,10.9,133,133,3727,,,,,,,,
sf_local071,CITY_LEGISLATION,snowflake,1,15,15,1,1.000,0.067,1,1,2,7.8,133,133,3728,,,,,,,,
sf_local072,CITY_LEGISLATION,snowflake,1,15,15,1,1.000,0.067,1,1,1,7.6,133,133,3727,,,,,,,,
sf_local068,CITY_LEGISLATION,snowflake,1,15,15,1,1.000,0.067,1,1,3,9.3,133,133,3727,,,,,,,,
sf_local073,MODERN_DATA,snowflake,6,17,17,6,1.000,0.353,1,0,9,9.4,77,77,2708,,,,,,,,
sf_local066,MODERN_DATA,snowflake,3,17,17,3,1.000,0.176,1,0,10,7.2,77,77,2882,,,,,,,,
sf_local065,MODERN_DATA,snowflake,2,17,17,2,1.000,0.118,1,1,5,7.2,77,77,2544,,,,,,,,
sf_local074,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,8.9,106,106,2965,,,,,,,,
sf_local064,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,8.0,106,106,3024,4,106,1.000,0.038,1,5,,
sf_local297,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,8.6,106,106,3023,,,,,,,,
sf_local298,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,0,11,7.4,106,106,2925,,,,,,,,
sf_local299,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,8.9,106,106,2965,4,106,1.000,0.038,1,13,,
sf_local300,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,8.4,106,106,2965,4,106,1.000,0.038,1,9,,
sf_local075,BANK_SALES_TRADING,snowflake,2,19,19,2,1.000,0.105,1,1,3,8.1,106,106,3034,8,106,1.000,0.075,1,8,,
sf_local077,BANK_SALES_TRADING,snowflake,2,19,19,2,1.000,0.105,1,1,3,7.7,106,106,2960,,,,,,,,
sf_local078,BANK_SALES_TRADING,snowflake,2,19,19,2,1.000,0.105,1,1,2,6.5,106,106,3047,,,,,,,,
sf_local081,NORTHWIND,snowflake,3,15,15,3,1.000,0.200,1,0,,9.7,95,95,3470,,,,,,,,
sf_local085,NORTHWIND,snowflake,1,15,15,1,1.000,0.067,1,1,2,7.4,95,95,3280,,,,,,,,
sf_local096,DB_IMDB,snowflake,3,13,13,3,1.000,0.231,1,1,4,7.6,50,50,1947,,,,,,,,
sf_local097,DB_IMDB,snowflake,1,13,13,1,1.000,0.077,1,1,1,5.0,50,50,1291,,,,,,,,
sf_local098,DB_IMDB,snowflake,3,13,13,3,1.000,0.231,1,0,9,4.6,50,50,1291,,,,,,,,
sf_local099,DB_IMDB,snowflake,3,13,13,3,1.000,0.231,1,0,9,5.9,50,50,1785,,,,,,,,
sf_local100,DB_IMDB,snowflake,2,13,13,2,1.000,0.154,1,0,9,4.5,50,50,1291,,,,,,,,
sf_local114,EDUCATION_BUSINESS,snowflake,4,18,18,4,1.000,0.222,1,1,4,7.1,98,98,2951,,,,,,,,
sf_local128,BOWLINGLEAGUE,snowflake,4,12,12,4,1.000,0.333,1,0,9,9.6,56,56,2374,,,,,,,,
sf_local130,SCHOOL_SCHEDULING,snowflake,4,16,16,4,1.000,0.250,1,0,11,10.8,77,77,2679,,,,,,,,
sf_local131,ENTERTAINMENTAGENCY,snowflake,2,13,13,2,1.000,0.154,1,1,3,8.9,76,76,3154,,,,,,,,
sf_local133,ENTERTAINMENTAGENCY,snowflake,2,13,13,2,1.000,0.154,1,1,2,7.9,76,76,2733,,,,,,,,
sf_local132,ENTERTAINMENTAGENCY,snowflake,4,13,13,4,1.000,0.308,1,1,4,8.0,76,76,3590,,,,,,,,
sf_local141,ADVENTUREWORKS,snowflake,2,13,13,2,1.000,0.154,1,0,4,7.7,120,120,3571,,,,,,,,
sf_local152,IMDB_MOVIES,snowflake,4,7,7,4,1.000,0.571,1,1,4,8.8,38,38,1744,,,,,,,,
sf_local230,IMDB_MOVIES,snowflake,4,7,7,4,1.000,0.571,1,1,6,8.1,38,38,1744,,,,,,,,
sf_local156,BANK_SALES_TRADING,snowflake,3,19,19,3,1.000,0.158,1,1,5,7.5,106,106,2970,,,,,,,,
sf_local157,BANK_SALES_TRADING,snowflake,1,19,19,1,1.000,0.053,1,1,1,7.9,106,106,2916,3,106,1.000,0.028,1,2,,
sf_local163,EDUCATION_BUSINESS,snowflake,1,18,18,1,1.000,0.056,1,1,1,7.8,98,98,3073,,,,,,,,
sf_local168,CITY_LEGISLATION,snowflake,3,15,15,3,1.000,0.200,1,1,3,8.2,133,133,3839,,,,,,,,
sf_local169,CITY_LEGISLATION,snowflake,2,15,15,2,1.000,0.133,1,1,6,10.1,133,133,3713,,,,,,,,
sf_local171,CITY_LEGISLATION,snowflake,3,15,15,3,1.000,0.200,1,0,15,9.2,133,133,3711,,,,,,,,
sf_local167,CITY_LEGISLATION,snowflake,3,15,15,3,1.000,0.200,1,0,15,8.2,133,133,3712,,,,,,,,
sf_local170,CITY_LEGISLATION,snowflake,3,15,15,3,1.000,0.200,1,1,6,11.2,133,133,3729,,,,,,,,
sf_local193,SQLITE_SAKILA,snowflake,1,16,16,1,1.000,0.062,1,1,2,7.9,89,89,2852,,,,,,,,
sf_local194,SQLITE_SAKILA,snowflake,5,16,16,5,1.000,0.312,1,0,14,7.2,89,89,2999,13,89,1.000,0.146,1,5,,
sf_local195,SQLITE_SAKILA,snowflake,7,16,16,7,1.000,0.438,1,0,9,7.9,89,89,3193,7,89,1.000,0.079,1,0,,
sf_local196,SQLITE_SAKILA,snowflake,4,16,16,4,1.000,0.250,1,0,8,8.3,89,89,3632,,,,,,,,
sf_local197,SQLITE_SAKILA,snowflake,1,16,16,1,1.000,0.062,1,1,1,6.7,89,89,2852,,,,,,,,
sf_local199,SQLITE_SAKILA,snowflake,2,16,16,2,1.000,0.125,1,1,2,7.1,89,89,3268,4,89,1.000,0.045,1,4,,
sf_local201,MODERN_DATA,snowflake,1,17,17,1,1.000,0.059,1,1,1,6.4,77,77,1994,,,,,,,,
sf_local202,CITY_LEGISLATION,snowflake,1,15,15,1,1.000,0.067,1,1,1,7.4,133,133,3723,,,,,,,,
