instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq038,new_york,bigquery,1,9,9,1,1.000,0.111,1,1,2,18.4,483,252,6614,,,,,,,,
bq053,new_york,bigquery,2,9,9,2,1.000,0.222,1,1,2,13.5,483,252,6613,5,220,0.600,0.014,0,6,,tree_census_*.spc_latin;tree_census_*.status
bq054,new_york,bigquery,1,9,9,1,1.000,0.111,1,1,1,13.0,483,252,6725,,,,,,,,
bq021,new_york,bigquery,2,9,9,2,1.000,0.222,1,1,4,11.6,483,252,6516,14,220,1.000,0.064,1,11,,
bq202,new_york_plus,bigquery,1,18,18,1,1.000,0.056,1,1,1,21.9,853,360,9632,,,,,,,,
bq185,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,4,14.9,853,360,9616,8,325,1.000,0.025,1,0,,
bq040,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,4,20.6,853,360,9618,,,,,,,,
bq098,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,5,22.3,853,360,9621,12,325,1.000,0.037,1,4,,
bq039,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,5,19.0,853,360,9608,13,325,1.000,0.040,1,3,,
bq203,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,2,14.0,853,360,9112,5,325,1.000,0.015,1,1,,
bq035,san_francisco,bigquery,2,8,8,2,1.000,0.250,1,1,2,15.0,118,118,5219,7,118,1.000,0.059,1,6,,
bq186,san_francisco,bigquery,1,8,8,1,1.000,0.125,1,1,1,9.8,118,118,5219,,,,,,,,
bq081,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,1,6,28.0,278,278,13418,10,272,1.000,0.037,1,2,,
sf_bq294,SAN_FRANCISCO_PLUS,snowflake,3,19,19,3,1.000,0.158,1,0,11,25.9,278,278,11378,14,272,1.000,0.051,1,0,,
bq339,san_francisco_plus,bigquery,1,19,19,1,1.000,0.053,1,1,1,17.3,278,278,13326,3,272,1.000,0.011,1,6,,
bq400,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,0,8,14.8,278,278,13968,9,272,1.000,0.033,1,0,,
bq059,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,0,10,14.0,278,278,13317,13,272,1.000,0.048,1,1,,
bq376,san_francisco_plus,bigquery,6,19,19,6,1.000,0.316,1,0,9,13.2,278,278,13282,4,272,1.000,0.015,1,5,,
sf_bq014,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,7.1,73,73,2650,,,,,,,,
sf_bq188,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,6,6.0,73,73,2589,,,,,,,,
sf_bq258,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.6,73,73,2650,,,,,,,,
sf_bq259,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,3,5.6,73,73,2588,,,,,,,,
sf_bq189,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.6,73,73,2650,,,,,,,,
sf_bq260,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.4,73,73,2588,5,73,1.000,0.068,1,1,,
sf_bq261,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,4,5.7,73,73,2649,,,,,,,,
sf_bq262,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.5,73,73,2650,,,,,,,,
sf_bq190,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.7,73,73,2588,,,,,,,,
sf_bq263,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.2,73,73,2650,9,73,1.000,0.123,1,7,,
sf_bq264,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,2,5.6,73,73,2588,6,73,1.000,0.082,1,0,,
sf_bq197,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,2,6.1,73,73,2583,,,,,,,,
sf_bq265,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,3,5.7,73,73,2588,19,73,1.000,0.260,1,8,,
sf_bq266,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,3,5.7,73,73,2583,,,,,,,,
sf_bq333,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.9,73,73,2586,,,,,,,,
sf_bq361,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,2,5.2,73,73,2588,,,,,,,,
sf_bq271,THELOOK_ECOMMERCE,snowflake,5,7,7,5,1.000,0.714,1,0,7,6.1,73,73,2588,20,73,1.000,0.274,1,2,,
sf_bq272,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,4,6.0,73,73,2583,,,,,,,,
sf_bq273,THELOOK_ECOMMERCE,snowflake,4,7,7,4,1.000,0.571,1,1,5,6.1,73,73,2588,18,73,1.000,0.247,1,3,,
