instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_272,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.1,
q_273,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.1,
q_274,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.4,
q_275,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.0,
q_276,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.8,
q_277,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_278,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.8,
q_279,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_280,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.8,
q_281,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_282,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.8,
q_283,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,4.3,
q_284,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.8,
q_285,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_286,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,4.3,
q_287,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.0,
q_288,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.9,
q_289,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.9,
q_290,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,33.8,
q_291,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_292,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,3.3,
q_293,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,3.6,
q_294,scholar,3,8,10,3,1.000,0.375,1,0,1,1,7,4.1,
q_295,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.3,
q_296,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.6,
q_297,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.3,dataset;keyphrase;paperdataset;paperkeyphrase
q_298,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.5,
q_299,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.6,
q_300,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.7,
q_301,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_302,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_303,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.7,
q_304,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.7,
q_305,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.7,
q_306,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.7,
q_307,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.8,
q_308,scholar,4,8,10,4,1.000,0.500,1,0,2,2,6,3.7,
q_309,scholar,5,8,10,4,0.800,0.500,0,0,2,1,10,3.5,dataset
q_310,scholar,5,8,10,4,0.800,0.500,0,0,2,1,10,4.0,dataset
q_311,scholar,6,8,10,6,1.000,0.750,1,0,4,4,8,3.2,
q_312,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.2,
q_313,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.5,
q_314,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.3,keyphrase;paper;paperkeyphrase;writes
q_315,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.4,
q_316,scholar,4,7,10,4,1.000,0.571,1,0,1,1,5,4.0,
q_317,scholar,5,8,10,5,1.000,0.625,1,0,2,2,8,4.1,
q_318,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,4.6,
q_319,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.5,
q_320,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.5,
q_321,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,4.0,
q_322,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.8,
q_323,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.7,
q_324,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.9,
q_325,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,4.1,
q_326,scholar,4,8,10,4,1.000,0.500,1,0,1,1,7,3.6,
